text,target,emotion
fuck nigga feelings till find nigga i'm feeling,1,joy
unhappy someone fucking tell unhappy leave go fuckin around people side,0,anger
abysmal ignorance frivolity levity italian priests stupefied ' - roland bainton luther reformationday,0,anger
summarize aman norwood mitchell clearly lead field resources though mitchell's burn rate alarming,0,anger
andrew's hands start shaking says 'i hope die like right now',3,sadness
they're like rape apologists inadvertently make men sound like rabid mindless beasts friends like,0,anger
want perfect boring dull,2,optimism
peoplelikemebecause see happy exterior hopelessness sometimes feel inside anxiety anxietyprobz,3,sadness
lol user awarded f bomb trophy autodealerlive user serious,1,joy
user also car hahahah 'oh we've broken lemme rearrange car quickly' nightmare,3,sadness
get mad easily,0,anger
user user quite response retaliation weiner getting revenge huma amp hillary 'clam digging' n allscumbags,0,anger
hours trains stations back started nightmare,0,anger
user miss james comey seemed bring order horrific chaos pray dear american friends trump voters,3,sadness
new madden franchise league xb coming soon follow amp dm interested full team league st help decide rules amp rosters,1,joy
someone tells they're going 'tear apart' say 'why tall ' shocking,0,anger
i'm restless,3,sadness
miamibryce asks buck dak prescott live asg dc sports talk radio producers get take rest night outrage,0,anger
texting guy 'i'm ready sex now' considered flirting ' shocking,0,anger
i'm u b minding business grinding relentless user,0,anger
shiver pause words nabandonment still fresh upon tips tongues,2,optimism
seriously miss ahsaftershow user user need talk mamasitas hunks horror,3,sadness
mcgregor clown hilarious mayweathervsmcgregor,1,joy
cannot see rational way bearing grudge maybe live netflix care,0,anger
watching driven food user going devon ave eat nihari makes gleeful af,1,joy
side thought everything takes time effort annoyed,0,anger
man know juggle balls n funny pun punny lol,1,joy
lucky enough burn right eye lashes unlucky enough burn short enough irritate ocd tendencies,0,anger
love swimming reason love meditating feeling weightlessness,1,joy
people need look definition protest protesting called vandalism stop,0,anger
scorpio's withdraw quiet place hurt think plan sting back,0,anger
user user where's picture,0,anger
fine mat tonight without sleep theres worry side water,2,optimism
harboring osama bin laden relationship haqqani network enough evidence prove pakistan sponsoring terrorism,0,anger
user user muslims usa ages think muslims commit terrorism due islam gotta mind,2,optimism
cam cannot serious ig post stupid ass font uses would've better say nothing,0,anger
user user refs gt's favor tonight,1,joy
teacher gave us assignment write letter bpe hired hypothetically i'm mental breakdown amp anxiety,3,sadness
user really normal thing years ago stayed past,3,sadness
ninaturner mine happening country needed moment levity bernblade lisavikingstad,3,sadness
terencecutcher tulsa man onthe helicopter said looks like bad dude problem see black see bad sad,3,sadness
ever put fist laptops screen time new one lmao hp,1,joy
ugh want punch wall every time use user literally worst product ever made windows awful killme,0,anger
background suffered bit times stress always bit shy years ago aged made redundant that's started,3,sadness
radio shake mutli directional mike might sound cheap sound bad could mixing,2,optimism
come quiet well behaved cats dogs ride plane tiny bag screaming small humans roam free outrage teampet,0,anger
tonight's run restless,3,sadness
user party divided nation inflame minority population well pander disgrace,0,anger
user wanted green potatoes bottle tag still plus soaking wet items delivered - i'm winning today-sadly,3,sadness
pessimist sees difficulty every opportunity optimist sees opportunity every difficulty' -sir winston churchill-,2,optimism
benefit exhilaration called online backing jkuvmvqxy,1,joy
ffs things come back haunt cringe bad cringe terrible gun,0,anger
user user indeed time create ghost filter please canwegetaghostfilter snapchat ghostfilter retweet,2,optimism
stayed night long nmade drinks strong nfeeling ten feet tall nropes swinging water nin middle night,1,joy
user cute smile,1,joy
india wants shake hands pakistan usual pakistan cheat every indian n n shameless pakistan,0,anger
user rabid dog ridden child eaten flesh one fellow limbs adults,0,anger
heads still ibiza body sat desk work depressing,3,sadness
user literally nicole already chance played shitty seasons,3,sadness
i'm bored fat full ridiculously overweight rolls galore,3,sadness
horrible track lakeside,0,anger
going get new horror movie tattoo tonight artist flaked rd time amp said done tattooing,0,anger
insult late sherri martel,0,anger
wow almost t-mobile stores san diego note replacements sadness need get mine replaced,3,sadness
user i'm actually offended naming fattening sandwich man died coronary disease likely due diet,0,anger
smell freshly cut grass even cheer boy oh boy,3,sadness
watch amazing live ly broadcast user lively musically,1,joy
hard get touch user one simple question can't find answer website hour waiting online chat,0,anger
when's finished discover never random thoughts crossoverlife,2,optimism
whole idea f nation revolves around kashmir amp global terrorism evrn care kids dying hunger nawazfightsforkashmir,3,sadness
know fear clogged toilet work can't find plunger horrifying bathroom firstworldproblems,0,anger
would advise everyone wait watch user actually wait even watch,2,optimism
lol mention pak pm even speech international news channel pakis rejoicing world stands,1,joy
user looking like user heyday,1,joy
odd watching antifa extremists going full spectrum become fascists n n violence hate angry clueless youth mom's basement come,0,anger
henderson showing times hard leaves goes missing aflcatsswans seenitbefore lions blues,3,sadness
opened message brooke sent got weak fuck fucking bully reason,0,anger
user user user they've obviously never tried 'repressing' red head fiery,0,anger
seems like time spent sober past days sleeping even waking faded lol,1,joy
got free dr pepper vending machine awesome,1,joy
reach goal hide drawer keep front face times wednesdaywisdom,2,optimism
saw first larsen trap today stressed magpie never ever want see angry distressed wildlife,0,anger
swear user blocks i'm going hit back revenge,0,anger
user hermione sort thank sliding plate away frowning ron continued,1,joy
user saying mountain verifiable evidence says otherwise fake news well there's surprise,1,joy
able jump mechwarrioronline killing awful internet,0,anger
user user accounts poor first half started showboating game safe bully,0,anger
wont use using user user guys cant get nothing right,0,anger
user user although expect trumpie understand difference real things pretend things,0,anger
moment nif kill spirit die natural '- princesstaye murder suicide racism pride,0,anger
user john make djt's silence would usually foaming mouth right maybe he's constipated,0,anger
user brilliant amp clever always delight,1,joy
actually fuming nothing wear saturday,0,anger
krusty krab n nno crippling depression,3,sadness
michelle nothing hating nicole's game hahaha bitter bb,1,joy
user user ugh vile men,0,anger
fuckfuckfuck hands shaking,0,anger
perfume smells like smell smokey incense would,1,joy
user warned basically choice trump pence ryan et al potus,3,sadness
user user yeah figured ornaments way wanted spektar desolate gear well thought right,2,optimism
user awe yay thank god worried,1,joy
i'm okay dont worry wish i'd better kid i'm trying slow i'm sorry letting,3,sadness
historically japanese always jazz blues dark age jazz big names like c c amp surviving tokyo,1,joy
fear life fear letting back life fears,3,sadness
user user ask im trying pout code csgo roll cant pout code red color help pls,3,sadness
blues whiskey i'd stay drunk time,3,sadness
projection perception see someone else also level within anger worry,0,anger
user months behind issue nit allow guys bully around like,0,anger
user user team must draw hat daily personality drugged yeller quiet screamer,0,anger
apparently one bus drivers grudge user passed waiting stop real service,0,anger
i've watched user nd season's st episode twice already still joyful planning watching,1,joy
user user i'm tears heartbreaking,3,sadness
user user incriminated multitude felonies decades terror us n maga n potus,0,anger
ok yes get much next guy -- bikes blues amp bbq frustrating amp loud ppl traveling come --,0,anger
perusing menu would like green tea shake please whipped cream dusted matcha perhaps straw,1,joy
matty dawson scored terrible,0,anger
user ah that's neat idea check - might makes depressed slowness tho,3,sadness
user u fucked house i'll always hold grudge,0,anger
panic attack find user twitter turns twitter jerk still see nyssaalghul panic,3,sadness
southend players always haunt man u,0,anger
samuel nand saul saw great success stood fearful awe,1,joy
honestly feel nothing towards either parents pretty depressing,3,sadness
cure anxiety intimate relationship christ - john,2,optimism
mmmm i'm kinda sad hope shake school,3,sadness
action foundational key success pablo picasso inspiring quote action hustle start dosomething success,2,optimism
i've seen innocence leave eyes still mourn death,3,sadness
user terrible,0,anger
user thank sharing concern please dm jio amp alternate number assist - rahul,1,joy
happened need smoke,0,anger
broken policy' blasio lt gt trump giuliani 'broken windows' part 'pecking order' bully politics america resist motto,0,anger
user lord understand tragedy best bring good grom comfort mourn amen,2,optimism
user said pals ripped new arsehole,0,anger
user user like going called cardiac arrest turned cut finger fuming medchat,0,anger
user going scrub month old daughters eyeballs unacceptable irreparableharm,0,anger
despise lord discipline resent rebuke lord disciplines loves proverbs -,2,optimism
well minds officially blown gameofthrones got gots e whitewalkers crying,3,sadness
response current political crap show 'but hillary ' 'but obama ' need start looking new argument,0,anger
want pour tears someone right tired upset,3,sadness
mom remember narley died cried like baby bully,3,sadness
user literally cracks see posts years ago later hilarious,1,joy
user appointment booked - today waited day nobody showed also requested call back never got one awful,0,anger
pleasing night lane next round amp bring liverpool anfield coys,1,joy
user go one two ways either get accept going change mope --,0,anger
user user struggle real whoa worry younger generation,3,sadness
one chair munchies alpacas edible afraid whatthefac salientfac salient,0,anger
ugh user really worst customer service astounded,0,anger
user user hi dom saw u notts county away looking mufc away ticket pay blues,3,sadness
user exact minus beer sadly,3,sadness
rojo terrible defender,0,anger
ahs every minutes i've saying 'nope nope i'd gone ' 'move' 'gtfo' thank fear,0,anger
smile could never make frown,1,joy
user know bothers u worry love zae,3,sadness
user would never strategically vote someone agree lot clinton vote based fear negativity,0,anger
snorted laughing user outtakes user user hilarious best duo ever user,1,joy
user flirt simper pout repeat yuck,0,anger
always looking quotes days follow user learn n quote doubleviz,2,optimism
val reminds one cheerful witches looks aurora disney sleeping beauty gbbo,1,joy
user wow i'm really sadden terrible,3,sadness
user mean tell glee getting less gleeful,1,joy
user ain't serious houvsne awful igotbetterthingstodotonightthandie,0,anger
user user although expect trumpie understand difference real things pretend things sad,3,sadness
life went happy unhappy,3,sadness
bring interview hospital tho,2,optimism
user i'm history people i'm i've bullied one make three posts attack bully,0,anger
user user need today u know many fuckin french plaits morn stroppy yr old rage,0,anger
worry payment problem may never have' joyce meyer motivation leadership worry,2,optimism
user he's stupid hate lol bitter,0,anger
finally raining ashland oregon we've parched summer amp fall plants amp people rejoicing,1,joy
i'm sorry im much interested bachelorinparadise rose ceremony whatever user seriously,3,sadness
user tweet shit like it'll come back haunt like ones,0,anger
user going back blissful ignorance fury,0,anger
change layout one looks pretty depressed,3,sadness
sorrow grim reminder bad video games could get bit trigger happy times rip mgs,3,sadness
get heated see people go thailand post pictures places know animals exploited abused fuming,0,anger
ugh asleep yet fml think low key i'm afraid might miss something sleeplessnight sleepy restless,3,sadness
spend shimmy drinks i'll raging know gonna happen,0,anger
user cheer,1,joy
user ain't serious houvsne igotbetterthingstodotonightthandie,0,anger
worst user that's i've attended worth one worst cons i've last years,0,anger
user one thing attacking hating worse - makes us like angry vengeful behavior detest,0,anger
user i'm furious,0,anger
panic attacks worst feeling really sick still shaking sleep depression,3,sadness
send video proper agency state workers harass public fuel ego scott arniel trial court bleep bully,0,anger
user specifically cause resent considered enemy,0,anger
user shy xd,3,sadness
well stock finished amp listed living room moved around new editing done amp fitted visit in-laws productivityatitsfinest happy,1,joy
blood bitter satan test becouse cleanse blood jesus christ amen,2,optimism
'first ignore laugh fight win' gandhi,2,optimism
gbbo homely pure piece tv gold channel attempt tart mary sue mel gone i'm,0,anger
believe women fiery month go struggle struggle develops strong character,2,optimism
fuc kik guys hhorny n dick sex womensbodies snapme sexting xxx,0,anger
user kind drive home work today nightmare dailyfeels,3,sadness
bitches aggravate like inspires biggest cunt known man kind,0,anger
oldest cat pisses always weary kennen senile kinda recently shes sweet attacked bit,0,anger
user understand express emotions others may lead sadness loneliness amp neg impact long term mh mhchat,3,sadness
user nif room burning,0,anger
user sorry upset u madam got queries hesitate contact pr department meantime fancy beer,2,optimism
recommend burning scalp sun parting glowing red burns cap need one,0,anger
can't stand lads put middle finger pics,0,anger
well played radio station playing song 'total eclipse heart' start eclipse eclipse brilliant,1,joy
user would almost took offense actually snapped,0,anger
anger issues lying issues think one pow lies confusion,0,anger
user happppy happppyyyyyy happppppyyyyy haaapppyyyy birthday best friend love lots chapter bdaygirl love,1,joy
user order placed monday via express delivery yet sign annoyed hurryup customer service queues awful,0,anger
user thinks looks boring,3,sadness
length gnawing sense dread,3,sadness
go,3,sadness
we're busy coding whole network manager unity based steamworks networking gamedev indiedev amdeadtime game,1,joy
frustration dream left utterly f king furious plus side angry sleep wrote words minus side still raging,0,anger
user user i've never someone i've never even met infuriate,0,anger
user expected thought fear,3,sadness
user horrible cnn interview u can't talk urself paper bag u even buy crap coming ur mouth,0,anger
user chuckles shaking head 'no really vivid imagination guess happens meet someone gt,1,joy
user worse expected hilarious one even remember,1,joy
speak maltese two years relatives calling trip terrible,0,anger
jamming fury math class wanting die hbu,0,anger
twd comes soon happy,1,joy
user sir people need revenge,0,anger
finished thekeeperoflostthings incredible charming book loved user weave story telling magic love,1,joy
user hi lovely brownie mm calling tuppytupperware awful,0,anger
user id argue sakura space best franchise list dissapointed,3,sadness
i'm dream said something really retarded twitter got like retweets nightmare,3,sadness
user quite simply worst airline worstairline i've ever used appauling dismal beyondajoke useless,0,anger
close end revision taking story love new direction exhilarating endlesspossibilities amwriting,1,joy
like really fucking asked offended,0,anger
much price poster sexy man sales clerk that's mirror sir n laughoutloud,1,joy
tell happy anniversary u happy bitter ampalaya paitpaitanangpeg,3,sadness
put passport safe back getting back australia problem can't remember safe panic,3,sadness
user user user user also wating terrorism willb history one thing kashmir india's,0,anger
indignation whispers date terrific lerman letts centerpiece scene that's overwhelming sense indignation,2,optimism
user user user seems legit always flinch right tell truth,2,optimism
user proverbs nthe fear lord hate evil pride arrogance evil way perverse mouth,0,anger
im tired still thisbhuge history test minutes cant afford get freaked oh god anxiety attack,3,sadness
happy birthday stephen king man responsible best horror past years whole bunch worst,1,joy
miss nothing someone care attacking face kisses foreveralone bitter,3,sadness
panpiper playing big river outside bridges sr,2,optimism
someone make priority list things outraged order racism animalrights abortion cops,0,anger
took yr school i'm proud say got accepted yo girl going finish happy,1,joy
user user fact need start making holidays maybe even e dry month pick theme year,1,joy
user user user kirby's black panther cool animated panel,1,joy
user much sadness heartbreak,3,sadness
two legged stool sample humor serious comedy,1,joy
even understood happening i'd feel pang sadness whenever parted firstlove bliss books lovehurts,3,sadness
death people afraid getting end life realize never truly lived,2,optimism
user think lost heart second version third disappointing played fourth yet,3,sadness
user user user trudeau endulging outrage culture preaching issues ad hominem never quanitfying,0,anger
user user whose customers love imagine hack days sing tune paymaster calls dismal,3,sadness
little nose irritation little chills body i'm flu flu flu fallsongs,0,anger
watched video took troye's concert last year happy little pill im crying miss user,3,sadness
user try asking cheeseburger onion amp mustard mcdonalds hilarious,1,joy
liam distant makes mourn,3,sadness
getting ready open tastings whisky shop dufftown autumn festival panic murraymcdavid whisky drams,1,joy
spurs radio commentator referred mauricio pochettino 'mopo' felt sudden surge rage,0,anger
user awe thanks morgs love u lots girly,1,joy
user oh jumper turned colder terrific day,1,joy
weather making dread work tonight,3,sadness
codes lyft codes got em use oath great deals loveislove,1,joy
everything ever wanted side fear george addair thursdaythoughts yourpushfactor life quote,2,optimism
mother-in-law fit rage referred someone 'yo-yo' n yoyo motherinlaw amirite fitofrage,0,anger
justify terrorism communal hatred amarnathterrorattack sheer act cowardice let's unite together terrorism luv,2,optimism
nasty nasty chilly rain put damper afternoon cigar good thing user four congresscritters tomorrow,3,sadness
user thank happy birthday well,1,joy
thisisus messed mind amp i'm anticipating next episode apprehension amp delight isthereahelplineforthis,1,joy
user user deep i'ts called depression psycologists help,3,sadness
user got rthrc ifyoudo mad treeq,0,anger
can't wait go work tomorrow high fuck fever sarcasm nhopefully i'll feel better tomorrow nbut doubt pessimism,3,sadness
user joyous worried would disappointed definitely chickflick giggles comethefuckonbridget,1,joy
another blow students su shunned wildcats fear offend dr dre,3,sadness
magpies gathering around help i'm going swooped terrorism,0,anger
listening trump bachelorinparadise suppose get crap tv ugh,0,anger
favorite character who's name starts letter n prisonbreak greysanatomy,1,joy
recording fnaf facetime mum let know okay let high pitched scream suchagirl,1,joy
trump supports reach another level irritation within,0,anger
user best great watch u go big sir tremendous hits ndts boom boom afridi,1,joy
wanna pop pills sedate wake tomorrow,3,sadness
blackish always rollin hilarious,1,joy
user bowers went drove evening horrible,3,sadness
depression sucks,3,sadness
anytime user gets near mic someone needs smack w bat user marblesinmouth,0,anger
howl moon user user next wednesday th free double feature silver bullet cursed,0,anger
guy video i'm shaking user,1,joy
get upset overlooked things others even small things imagine jesus feels died sins,3,sadness
anxiety playing around help,3,sadness
user seriously dude buy bubble tape phones snap broke another phone,0,anger
hey user would safe assume disappointing madden years opinion,3,sadness
user pine love one day crabbe,3,sadness
whu old bill free time game chelsea comes around nthat lively say least n afc,1,joy
user thanks making super sad pizza sad freepizza,3,sadness
boring stations side bully tough someone sha n,0,anger
nationalfrenchfryday i'm working mcdonald's frightened,0,anger
user he's horrible person gag see people quote,0,anger
blessed mourn comforted n mt,2,optimism
floofel wonder mother knows dark humor needs realize much butt apple pastels cats cutie pie,1,joy
folk band 'thistle down' replaced 'the paul edwards quartet' laurel bank park sat - pm due ill health jazz blues,3,sadness
tremor n tremor,3,sadness
user gonna kind community raids wrath machine drops,0,anger
twitter picture makes fume,0,anger
user wait saw tweet thought joking serious,0,anger
goodevening,1,joy
user criminalized posting pic brown frown get pic jack cookies diesel join user,0,anger
man know juggle balls n funny pun punny hilarious lol,1,joy
user remember heyday ladies range age i'd say mid- early,1,joy
happiness found created curated n n depression depressionawareness depressed,3,sadness
seek conduct attacks israel intended provoke reaction would inflame feeling within islamic world,0,anger
user dude dead ass said came she'd start shit amy amp literally amy anything cal bs,0,anger
lost,3,sadness
whenever hear concert postponed think dismal ticket sales green day,3,sadness
wonder gleeful dumb af see world rose tinted glasses,0,anger
lack cheers cozart announced one would assume people know reds cincysports depressing,3,sadness
became obvious morata saga fucking bitter old cunt turned sideman,0,anger
jeong su easy get along everybody likes intimidated like reminds seunghoon,1,joy
user vas ir al de amaity affliction,3,sadness
swear got playful ass bf ever,1,joy
nawazsharif says india poses unacceptable conditions dialogue india's condition end terrorism meaindia,0,anger
rocklandcounty get ravis suffern ny great food new chef terrific atmosphere say 'twitter' server get free appetizer,1,joy
irrelevant skinny body vile personality bully,0,anger
ash weirdest laughter,1,joy
every time cry hard fear blankets,3,sadness
inpouring letter dying subsist checking quaint virtuoso ways toward fine huff l,0,anger
user user user why'd wait start getting pissy,0,anger
val far cheery liking,1,joy
user announcing late hard make manchester organising day sad,3,sadness
edinburgh fucked nthis city nightmare drive 'round none ways bus lanes cameras feckin' trams who's idea,0,anger
ask nif algae appears gone really nis worth risk n algae water toxic threat methane cancer,0,anger
i'm sick 'i'm done w ex na we're never getting back together' crap get back together like month,0,anger
user user user tamra would f swung tamra nkelly piece needstobeadmitted bully,0,anger
sleep always one best remedies tired weary soul,2,optimism
coulda sworn interview vampire hmmm mandela effect anyone n interviewwithavampire annerice books horror ilovevamps,1,joy
user indeed nalways worry homeland gibraltar spain n tale foretelling future n great short story,2,optimism
im angry,0,anger
every year go universal studios horror nights rd wheel lol,1,joy
user lordderply like yugioh animated shows,1,joy
someone set fire alarm i'm angry middle moisturizing elbows,0,anger
user adorable mnuchinwife thinks government mission louiselinton,1,joy
burning muslims economy nthey burning economy sri-lanka,0,anger
user user user user user user give keys back house shocking,0,anger
happy birthday shorty stay fine stay breezy stay wavy user,1,joy
user hetero guilty pleasure,1,joy
really study today chemistry playing madden way fun,1,joy
bitch offend,0,anger
going local news immediately designatedsurvivor turns smooth transition 'chaos raging fire ' media,0,anger
watch amazing live ly broadcast user lively musically,1,joy
head north arrive breezy cave smells sweet glance watch running minutes late,1,joy
user user user user excellent grippedbyfear fearful fearsome fearfearfear,1,joy
sickness bug awful,0,anger
user really sucks much customer service sucks i've hung three times absolutely horrible,0,anger
burst crying alone u realize one truly knows unhappy really want anyone know,3,sadness
friends send ballons fireworks text amazing,1,joy
user b er ncfc grudge match,0,anger
user hillary different controversies gets asked nothing truth horrible candidate,0,anger
bayern munich pitch horrific,0,anger
user control avoidmmt guys terrible,0,anger
think i'll ever get used alarm,3,sadness
user solution punish criminals that's way discourage crime circle continue,0,anger
world nicole beat paul terrible bb bbfinale jury thinking,0,anger
yall rlly gotta stop lettin bees put fear ur heart unless ur allergic i'm tryna see u run around fuckin bee chill u soft,0,anger
hate start conversation one,0,anger
user would raging probably put place instead extra crisp,0,anger
bother tweeting poor men's nwhat good i'm unable cheery go quiet missed btw,3,sadness
indian uber driver called someone n word moving vehicle i'd jumped disgusted,0,anger
damn walked train station literally died,3,sadness
user ended paying p half tube smarties even get pleasure popping plastic lid either outrage,0,anger
user awe yay wish could rt,1,joy
user always control mistrust,0,anger
user u guys determine teams cause i'm shitty teams play i'm fuckin cod,0,anger
user user user user say left party game huff,3,sadness
hi u feeling matter try today's special cloudy blue thumb ground beef blueberry feel irate,0,anger
moving clips youtube tonight vigil held tulsa metropolitan baptist church terencecruther justice sadness,3,sadness
user sad truth,3,sadness
user liked moping around episode moment emotional weakness felt sorry -,3,sadness
fucking muppet user fuming stalker,0,anger
life short dont shoot worries sadness grief,2,optimism
ever grow weary good see headlines look trend lines hope ' user cgi,2,optimism
people say nmu worst something going tell wanna know bout life that's fucking asked care,0,anger
user man u r bitter manu making great strides,0,anger
user enjoyment moment sad life,3,sadness
someone wake user make remix 'why' b w terrencecrutcher election colinkapernick terrorism riots much,0,anger
user user pay responsible doings sober real blind,1,joy
beautiful morning beach anna maria island wife vacation blessed happy,1,joy
fret cool humans follow become instantly cool bot,1,joy
thinking fergie's music l f seriously i'm mother someday i'll l f lmao empowerment adorable,1,joy
concerns amp anxiety matter shall return favor eyematter,0,anger
user maybe jr dumb wants take revenge dad,0,anger
holiday blues wanttogobacktominehead,1,joy
humble sight lord died christ offended dead person cannot feel anything right,2,optimism
let general tweet offend definitely twitter,0,anger
let fear hold back want use power push towards goals fear action fear,2,optimism
happy birthday user cheer cheerchick jeep jeepgirl idriveajeep jeepjeep cheer,1,joy
never let see frown,0,anger
user user even says nothing he'll still piss people he's gotta decide wants make angry,0,anger
goals 'too many us living dreams living fears ' --les brown success,2,optimism
police officers right 'shoot' human beings without provocation wrong n n orconservative user,0,anger
user data stolen tell us shocking,0,anger
big sized clothes hours use bad haircut real big rage,0,anger
user jr lawyered wrong folk aint bright,3,sadness
user anything keep destroying country makingamericastupid sad,3,sadness
can't believe user can't put even points user horrible hugeletdown,0,anger
jorge deserves honestly he's weak dayfiance,0,anger
holiday abroad two years depressing btw,3,sadness
user glad gained cheery vibes looking happy meal,1,joy
included villalta scale people living pts experienced heaviness leg pretibial oedema isth,3,sadness
user user guess he's convenient target misplaced anger they're really mad played,0,anger
user assure laughter increasing anger costs arrogance westminster,0,anger
user timid determined version rabid beasts beyond land growling beneath restrained breath rip --,0,anger
never find exact emoji i'm exact moment need,3,sadness
mind tried right raging,0,anger
user user user probably resent tax money spent way,0,anger
user came silly o'clock woke that's happened wasted fuming,0,anger
taking apart lawn get lawn,0,anger
one door closes another one opens opportunity growth optimism,2,optimism
user lol thought maybe decide levity,1,joy
boys dm pictures cocks best one get uploaded cumtribute dm snap snapchat snapme nudes dickpic cocktribute,1,joy
counting queensland stateoforigin broncos maroons blues nswblues qld,1,joy
unmatched party specialist co user serious job titles,3,sadness
user user user user owned losers twitter,0,anger
idk bad talking ppl lately like something literally holding back pinpoint,3,sadness
nervous could puke,3,sadness
'i smile laugh nbut behind mysterious ',1,joy
feminists ask they're unhappy lack love lives b c fighting losing game,0,anger
amateurs sit wait inspiration rest us get go work ' -- stephen king authors serious writingtip,2,optimism
user maybe constipation issues know dates relieve affliction way jose,1,joy
ever cried middle bomb rest someone woke emergency sleep cry kms dead,3,sadness
could turn anxiety off--i would nooneunderstands,3,sadness
user that's call gameface gameface,1,joy
part roof bar driver's side stolen grand vitara cars let known really disheartening brunei,3,sadness
always sober said drunk teach keep mouth shut n ernest hemingway quote,2,optimism
user user need get relocated somewhere afraid sunshine,2,optimism
tasers immobilize taser someone fuck need shoot one second later really sick wtf murder,0,anger
go back time st grade walk shove bully playground little asshole n stupidreasonstousetimetravel,0,anger
library vendors sometimes really irritate esp new owner little commitment great product poor manners,0,anger
user tried poured sink bother make tasting notes - looks like cheap sake tasted like,0,anger
dehydrated exhausted stressed still blessed optimism,2,optimism
feel like appendix purpose sad depressed depression alone lonely broken sadness cry hurt crying life,3,sadness
love memories randomly pop ninto head smiling like n idiot ages,1,joy
i'm talkative person scowl face lead neighbors believe time conversation,0,anger
anger cheap politeness expensive expect everybody polite thoughtfulthursday politeness,2,optimism
one lady literally parked next scared shit,0,anger
user 'don't know nervous see ',3,sadness
happy birthday user cheerchick jeep jeepgirl idriveajeep jeepjeep cheer,1,joy
omg kissed w,1,joy
user user sebestian gorka arrogant hole business speaking,0,anger
playful shit,0,anger
follow girl tiff got followers user,3,sadness
user think yawning actor died drug overdose,3,sadness
really care like state user user would seriously address sensitivity training employees awful,0,anger
forgot bb tonight much real world distracting horrid,0,anger
amwriting horror dark loud creaking door noise coming kitchen doors creak wtf,3,sadness
user irritate inch thick made masks,0,anger
user gives gleeful squeak wraps around mine,1,joy
feel like appendix purpose depressed alone lonely broken cry hurt crying life,3,sadness
free poisonous laborious burden holding grudge user quote,2,optimism
user sometimes judiciary leaves breathless speechless,0,anger
trust lose wallet call lifeguard amp swimmers social early vc user,0,anger
bring interview hospital tho nervous,3,sadness
user nonsensical there's injustice blacks add destroying black property misdirected anger,0,anger
user user horrid disease maternal grandmother sisters suffered affliction hard,3,sadness
user -- handle n carl yelled back fury blood smeared across face clothes still holding onto --,0,anger
user i'm feeling exact way also read akon's voice provided hearty chuckle,1,joy
user user man god's heart proud president blessedandgrateful awesomeness,1,joy
lack company liveliness makes bored,3,sadness
user talking expansion gear - fury always well towards end,0,anger
user try nominating qualified people b devos pruitt r perry etc really terrible,0,anger
bad news fam life still hard awful depression anxiety atleastihavebuffy,3,sadness
know moon times smaller sun eclipse amazing solareclipse,1,joy
home sick blues cure need ideas sorethroat sick blues music fallweather carletonuniversity ottawa,3,sadness
gloomy weather puts best mood,1,joy
act anxiety amp depression group user beginning mon october weeks contact register mindfulness halifax,3,sadness
okay annoyed done good job furious,0,anger
add snapchat dfdf n dick pussy nudes horny anal ass bigbooty bobs cock blowjob sex sexy snap nany horny girls,1,joy
communitysleepcoach look narcoleptic puppies make smile human amp find odd positions seek th,1,joy
lets get astros a's game going already we're going need attendance cheer a's victory,1,joy
number ppl took wrong way alarming srsly u think lyt dat man oy,1,joy
feeling full existential dread bash mass surveillance,0,anger
user user might spec hope end horrific tunnel,2,optimism
update yet hang user i'm still hopeful,2,optimism
david gilmour's biggest compliment b b king asked gig born mississippi pinkfloyd theblues davidgilmour blues,1,joy
blackest abyss despair alonzo,3,sadness
become verb 'i'm gonna villase old contacts need anymore ' sadness user waitingforexplanation,3,sadness
user wanna bully inhuman,0,anger
user content updates provoke income,1,joy
user madrid playing awful modric minutes bernab u stadium long viallreal never,0,anger
user user user listen white trash talk blacks insult talk race living trailers,0,anger
user point voting trump push pieces board game like angry toddler wreck everything everybody,0,anger
using twitter coping mechanism raging kid oops,0,anger
user grass growing simulator offended,0,anger
user social anxiety many awkward things wrong,1,joy
user user what's wrong burning terrorists alive kill want biryanis award return,0,anger
jim sheridan standing next say word facepalm tonguetied,0,anger
user would great card crashes happened twice nightmare,3,sadness
damn sight getting scared af makes feeel sooo bad feel afraid cause mom come n,3,sadness
user user user hilarity someone literally openly anti-science calling others anti-science,1,joy
mixed emotions sadness anxietymaybe missingfriends growingupsucks lostfriends wheresthetruefriends complications,3,sadness
earlier where's notinmyname gang nnow hope placards condemning islamic terrorism nnext,0,anger
ever stop afraid someone live,3,sadness
people gotta start much drama shoot,0,anger
user kinda depressing hey,3,sadness
malaysian police arrest people suspected links terrorism including three foreigners n n malaysia,3,sadness
user 'that disappointment ' n nhe fakes pout starts chuckle,3,sadness
working blanchardstown shopping centre years figured today marks amp spencer's lost,3,sadness
guys really disrespecting women moms still laundry,0,anger
really want go fright night really,1,joy
user discovered send animated gifs updated imessage,1,joy
literally dying amp living time catch user 's twitter following life basic hilarity,1,joy
whoever decided put chat functions company websites customer service deserves medals hate talking phone,0,anger
buying early entry tickets user means fuck expect complaint email get home shocking service,0,anger
biblemotivate worrying worried n peter nthrow worry cares faith leadership worry mindfu,2,optimism
user user make angry i'd laughing tweet,0,anger
maybe joey ignored tinder posted social media trip hawaii bitter,0,anger
johnny seem like suicidal type suspicion tcmparty,3,sadness
